NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.2,1.2,1.4,1.4,7.2,7.2,7.4,7.4,13.4,13.4,13.2,13.2
2.2,2.2,2.4,2.4,8.2,8.2,8.4,8.4,14.4,14.4,14.2,14.2
3.2,3.2,3.4,3.4,9.2,9.2,9.4,9.4,15.4,15.4,15.2,15.2
4.2,4.2,4.4,4.4,10.2,10.2,10.4,10.4,16.4,16.4,16.2,16.2
5.2,5.2,5.4,5.4,11.2,11.2,11.4,11.4,U,U,U,U
6.2,6.2,6.4,6.4,12.2,12.2,12.4,12.4,U,U,U,U
