A1,A1,A9,A9,B1,B1,B9,B9
A2,A2,A10,A10,B2,B2,B10,B10
A3,A3,A11,A11,B3,B3,B11,B11
A4,A4,A12,A12,B4,B4,B12,B12
A5,A5,A13,A13,B5,B5,B13,B13
A6,A6,A14,A14,B6,B6,B14,B14
A7,A7,A15,A15,B7,B7,B15,B15
A8,A8,A16,A16,B8,B8,B16,B16
