C1,C1,C9,C9,X1,X1,X9,X9,AU
C2,C2,C10,C10,X2,X2,X10,X10,AU
C3,C3,C11,C11,X3,X3,X11,X11,BU
C4,C4,C12,C12,X4,X4,X12,X12,BU
C5,C5,C13,C13,X5,X5,X13,X13,CU
C6,C6,C14,C14,X6,X6,X14,X14,CU
C7,C7,C15,C15,X7,X7,X15,X15,XU
C8,C8,C16,C16,X8,X8,X16,X16,XU
