,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,cells Count,cells % Parent,cells % Grand Parent,cells % Total,cells Count/uL,live Count,live % Parent,live % Grand Parent,live % Total,live Count/uL,Naive Count,Naive % Parent,Naive % Grand Parent,Naive % Total,Naive Count/uL,Mem Count,Mem % Parent,Mem % Grand Parent,Mem % Total,Mem Count/uL,Emra Count,Emra % Parent,Emra % Grand Parent,Emra % Total,Emra Count/uL,Eff Count,Eff % Parent,Eff % Grand Parent,Eff % Total,Eff Count/uL,CD4 Count,CD4 % Parent,CD4 % Grand Parent,CD4 % Total,CD4 Count/uL,CD8 Count,CD8 % Parent,CD8 % Grand Parent,CD8 % Total,CD8 Count/uL,EGFRt+ Count,EGFRt+ % Parent,EGFRt+ % Grand Parent,EGFRt+ % Total,EGFRt+ Count/uL,TNFa_EGFR Count,TNFa_EGFR % Parent,TNFa_EGFR % Grand Parent,TNFa_EGFR % Total,TNFa_EGFR Count/uL,IFNg_EGFR Count,IFNg_EGFR % Parent,IFNg_EGFR % Grand Parent,IFNg_EGFR % Total,IFNg_EGFR Count/uL,IL2_EGFR Count,IL2_EGFR % Parent,IL2_EGFR % Grand Parent,IL2_EGFR % Total,IL2_EGFR Count/uL,TNFa_1 Count,TNFa_1 % Parent,TNFa_1 % Grand Parent,TNFa_1 % Total,TNFa_1 Count/uL,IFNg_1 Count,IFNg_1 % Parent,IFNg_1 % Grand Parent,IFNg_1 % Total,IFNg_1 Count/uL,IL2_1 Count,IL2_1 % Parent,IL2_1 % Grand Parent,IL2_1 % Total,IL2_1 Count/uL,TNFa Count,TNFa % Parent,TNFa % Grand Parent,TNFa % Total,TNFa Count/uL,IFNg Count,IFNg % Parent,IFNg % Grand Parent,IFNg % Total,IFNg Count/uL,IL2 Count,IL2 % Parent,IL2 % Grand Parent,IL2 % Total,IL2 Count/uL
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-B7 Well_007,"21700","100.00","100.00","100.00","343.52","10000","46.08","46.08","46.08","158.30","9410","94.10","43.36","43.36","148.96","2945","32.41","31.30","13.57","46.62","1699","18.70","18.06","7.83","26.90","3008","33.10","31.97","13.86","47.62","1435","15.79","15.25","6.61","22.72","4611","49.00","46.11","21.25","72.99","4427","47.05","44.27","20.40","70.08","3981","42.31","39.81","18.35","63.02","1646","41.35","17.49","7.59","26.06","364","9.14","3.87","1.68","5.76","689","17.31","7.32","3.18","10.91","565","10.41","6.00","2.60","8.94","138","2.54","1.47","0.64","2.18","148","2.73","1.57","0.68","2.34","2211","23.50","22.11","10.19","35.00","550","5.84","5.50","2.53","8.71","785","8.34","7.85","3.62","12.43"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-B8 Well_008,"17936","100.00","100.00","100.00","238.07","6182","34.47","34.47","34.47","82.05","5660","91.56","31.56","31.56","75.13","1996","36.50","35.27","11.13","26.49","1185","21.67","20.94","6.61","15.73","1597","29.21","28.22","8.90","21.20","690","12.62","12.19","3.85","9.16","2668","47.14","43.16","14.88","35.41","2773","48.99","44.86","15.46","36.81","2280","40.28","36.88","12.71","30.26","552","24.21","9.75","3.08","7.33","125","5.48","2.21","0.70","1.66","140","6.14","2.47","0.78","1.86","214","6.33","3.78","1.19","2.84","67","1.98","1.18","0.37","0.89","57","1.69","1.01","0.32","0.76","766","13.53","12.39","4.27","10.17","231","4.08","3.74","1.29","3.07","174","3.07","2.81","0.97","2.31"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-B9 Well_009,"22441","100.00","100.00","100.00","463.37","10000","44.56","44.56","44.56","206.48","9073","90.73","40.43","40.43","187.34","3093","35.95","34.09","13.78","63.87","1656","19.25","18.25","7.38","34.19","2835","32.95","31.25","12.63","58.54","1020","11.85","11.24","4.55","21.06","4406","48.56","44.06","19.63","90.98","4156","45.81","41.56","18.52","85.81","2579","28.42","25.79","11.49","53.25","664","25.75","7.32","2.96","13.71","151","5.85","1.66","0.67","3.12","153","5.93","1.69","0.68","3.16","387","5.96","4.27","1.72","7.99","110","1.69","1.21","0.49","2.27","115","1.77","1.27","0.51","2.37","1051","11.58","10.51","4.68","21.70","321","3.54","3.21","1.43","6.63","246","2.71","2.46","1.10","5.08"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-B10 Well_010,"20604","100.00","100.00","100.00","469.23","10000","48.53","48.53","48.53","227.74","9026","90.26","43.81","43.81","205.56","3181","37.22","35.24","15.44","72.44","1753","20.51","19.42","8.51","39.92","2448","28.64","27.12","11.88","55.75","1165","13.63","12.91","5.65","26.53","4624","51.23","46.24","22.44","105.31","3884","43.03","38.84","18.85","88.45","4016","44.49","40.16","19.49","91.46","1441","35.88","15.96","6.99","32.82","369","9.19","4.09","1.79","8.40","590","14.69","6.54","2.86","13.44","341","6.81","3.78","1.66","7.77","119","2.38","1.32","0.58","2.71","97","1.94","1.07","0.47","2.21","1782","19.74","17.82","8.65","40.58","553","6.13","5.53","2.68","12.59","644","7.13","6.44","3.13","14.67"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-B11 Well_011,"22296","100.00","100.00","100.00","458.86","10000","44.85","44.85","44.85","205.80","8997","89.97","40.35","40.35","185.16","3148","36.26","34.99","14.12","64.79","1529","17.61","16.99","6.86","31.47","2760","31.79","30.68","12.38","56.80","1245","14.34","13.84","5.58","25.62","4796","53.31","47.96","21.51","98.70","3846","42.75","38.46","17.25","79.15","4052","45.04","40.52","18.17","83.39","1417","34.97","15.75","6.36","29.16","293","7.23","3.26","1.31","6.03","643","15.87","7.15","2.88","13.23","375","7.58","4.17","1.68","7.72","93","1.88","1.03","0.42","1.91","109","2.20","1.21","0.49","2.24","1792","19.92","17.92","8.04","36.88","429","4.77","4.29","1.92","8.83","708","7.87","7.08","3.18","14.57"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-B12 Well_012,"20643","100.00","100.00","100.00","547.41","10000","48.44","48.44","48.44","265.18","9032","90.32","43.75","43.75","239.51","2873","33.14","31.81","13.92","76.19","1639","18.91","18.15","7.94","43.46","2774","32.00","30.71","13.44","73.56","1382","15.94","15.30","6.69","36.65","4523","50.08","45.23","21.91","119.94","4092","45.31","40.92","19.82","108.51","3430","37.98","34.30","16.62","90.96","1668","48.63","18.47","8.08","44.23","464","13.53","5.14","2.25","12.30","830","24.20","9.19","4.02","22.01","570","10.17","6.31","2.76","15.12","205","3.66","2.27","0.99","5.44","133","2.37","1.47","0.64","3.53","2238","24.78","22.38","10.84","59.35","736","8.15","7.36","3.57","19.52","911","10.09","9.11","4.41","24.16"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-C1 Well_013,"20992","100.00","100.00","100.00","278.33","8417","40.10","40.10","40.10","111.60","7730","91.84","36.82","36.82","102.49","2343","31.24","30.31","11.16","31.07","1711","22.81","22.13","8.15","22.69","2168","28.91","28.05","10.33","28.75","1278","17.04","16.53","6.09","16.95","3869","50.05","45.97","18.43","51.30","3561","46.07","42.31","16.96","47.22","3037","39.29","36.08","14.47","40.27","1158","38.13","14.98","5.52","15.35","241","7.94","3.12","1.15","3.20","395","13.01","5.11","1.88","5.24","267","5.69","3.45","1.27","3.54","95","2.02","1.23","0.45","1.26","95","2.02","1.23","0.45","1.26","1425","18.43","16.93","6.79","18.89","394","5.10","4.68","1.88","5.22","449","5.81","5.33","2.14","5.95"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-C2 Well_014,"22157","100.00","100.00","100.00","334.29","10000","45.13","45.13","45.13","150.88","9278","92.78","41.87","41.87","139.98","2940","32.75","31.69","13.27","44.36","1917","21.35","20.66","8.65","28.92","2653","29.55","28.59","11.97","40.03","1468","16.35","15.82","6.63","22.15","4474","48.22","44.74","20.19","67.50","4416","47.60","44.16","19.93","66.63","3155","34.01","31.55","14.24","47.60","1252","39.68","13.49","5.65","18.89","280","8.87","3.02","1.26","4.22","413","13.09","4.45","1.86","6.23","416","6.79","4.48","1.88","6.28","160","2.61","1.72","0.72","2.41","115","1.88","1.24","0.52","1.74","1668","17.98","16.68","7.53","25.17","512","5.52","5.12","2.31","7.72","473","5.10","4.73","2.13","7.14"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-C3 Well_015,"22369","100.00","100.00","100.00","312.94","10000","44.70","44.70","44.70","139.90","9327","93.27","41.70","41.70","130.48","2718","29.95","29.14","12.15","38.02","2013","22.18","21.58","9.00","28.16","2598","28.62","27.85","11.61","36.35","1747","19.25","18.73","7.81","24.44","4853","52.03","48.53","21.70","67.89","4128","44.26","41.28","18.45","57.75","3718","39.86","37.18","16.62","52.01","1794","48.25","19.23","8.02","25.10","471","12.67","5.05","2.11","6.59","1021","27.46","10.95","4.56","14.28","538","9.59","5.77","2.41","7.53","182","3.24","1.95","0.81","2.55","179","3.19","1.92","0.80","2.50","2332","25.00","23.32","10.43","32.62","740","7.93","7.40","3.31","10.35","1126","12.07","11.26","5.03","15.75"
2024.12.13 TCSL250 Cytokines-Plate_001-Group_001-C4 Well_016,"22492","100.00","100.00","100.00","425.50","10000","44.46","44.46","44.46","189.18","9249","92.49","41.12","41.12","174.97","2804","31.40","30.32","12.47","53.05","2172","24.32","23.48","9.66","41.09","2417","27.07","26.13","10.75","45.72","1537","17.21","16.62","6.83","29.08","4417","47.76","44.17","19.64","83.56","4417","47.76","44.17","19.64","83.56","2703","29.22","27.03","12.02","51.14","1452","53.72","15.70","6.46","27.47","381","14.10","4.12","1.69","7.21","736","27.23","7.96","3.27","13.92","460","7.03","4.97","2.05","8.70","193","2.95","2.09","0.86","3.65","147","2.25","1.59","0.65","2.78","1912","20.67","19.12","8.50","36.17","655","7.08","6.55","2.91","12.39","829","8.96","8.29","3.69","15.68"
